content,label,label_encoded,prediction,correct
Worried about your family member in an independent care facility &amp; how to protect them from #COVID19? You can help by monitoring food and other medical supplies they may need and creating a back-up plan. Visit: https://t.co/GRdRMdcWtm. https://t.co/BuOGECco1d,Reliable,0,0,True
United States endorses human use of chlorine dioxide for COVID-19,Misinformation,1,1,True
"Unmasked: Chinese intelligence officer reveals truth that it's a #BiologicalWeapon China developed and was to use to end Hong Kong protests but it backfired. If it's true, world must come together to end #biologicalweapons #CoronavirusOutbreak",Misinformation,1,1,True
Kenya's 2022 general elections have been postponed by five years until 2027 and the government will use the election budget to fight coronavirus.,Misinformation,1,0,False
Netflix documentary Tiger King has risen in popularity as #COVID19 forces people into lockdown. So it's no surprise that a rumour began that one of its main protagonists has been infected. Latest issue of #coronacheck: https://t.co/0lSwyKJXNq #factcheck #coronavirusfacts https://t.co/oUXegWF2fZ,Misinformation,1,0,False
"#covid19 #coronavirus #coronaoutbreak £10 for toilet roll!!! Robbing bastards , should be ashamed of themselves!!! Canons Park newsagents!!! Disgusting #covid19UK #panicbuyers #londonlockdown #WereInThisTogether #ukcoronavirus https://t.co/q8YzoxlIA9",Misinformation,1,0,False
Image of COVID-19 infected Indonesian doctor Hadio Ali watching his daughters from a distance as he bids them final goodbye; the image is said to be posted by his wife.,Misinformation,1,0,False
Coronavirus has gripped Italy and nobody is willing to carry corpses off Italy's streets.,Misinformation,1,1,True
It was claimed that Israelis discovered vaccine for Coronavirus and no more deaths will be there,Misinformation,1,1,True
#IndiaFightsCorona It is only by aggressive TESTING that positive cases can be identified their contacts TRACKED and isolated as well as prompt TREATMENT can be ensured. @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive @airnewsalerts @COVIDNewsByMIB @PTI_News,Reliable,0,0,True
As at 11:15 am 31st March there are 135 confirmed cases 2 deaths For a breakdown of cases by states in real time please see https://t.co/zQrpNeOfet Currently; Lagos- 81 FCT- 25 Ogun- 4 Enugu- 2 Ekiti- 1 Oyo- 8 Edo- 2 Bauchi- 2 Osun-5 Rivers-1 Benue- 1 Kaduna- 3,Reliable,0,0,True
"Anyone interested in rise of fascism globally (and that should be everyone) should read this report by @AmarAmarasingam on how Hindu nationalists use Covid-19 to spread anti-Muslim hate and violence.
https://t.co/05YYjtytuW",Misinformation,1,0,False
"The election was originally scheduled for May 26, but it has been postponed ""in conjunction with the state's ongoing efforts to mitigate the spread of COVID-19,"" says a release from the governor's office",Misinformation,1,0,False
Regarding how to respond to the COVID-19 pandemic Tommy Tuberville did once say he “wouldn’t have a clue.” He also has not laid out a plan for what he would do about COVID-19 but he has stated some positions. https://t.co/LVBeiVbXVE,Misinformation,1,0,False
"growing evidence that skin rashes are a key feature of Covid, present in around 9% of app users testing positive. In children they may be even more predictive, with a 1/6 of children experiencing a rash &amp; no other symptoms https://t.co/rRsgNu3rOC",Misinformation,1,1,True
Sir Keir Starmer is out of isolation after his child tested negative for #coronavirus. However he still won't be appearing at #PMQs today with Labour deputy leader Angela Rayner to face Boris Johnson in the House of Commons instead. Live updates: https://t.co/irokoSsks2 https://t.co/p4tb0Njnbm,Reliable,0,0,True
NEWS! New Coronavirus guidelines allow people to do all the things they started doing three weeks ago. https://t.co/aiQs32Ty9F https://t.co/XVnI1YWVfz,Misinformation,1,0,False
288 new cases of #COVID19; 179-Lagos 20-Kaduna 15-Katsina 15-Jigawa 13-Borno 11-Ogun 8-Kano 7-FCT 4-Niger 4-Ekiti 3-Oyo 3-Delta 3-Bauchi 2-Kwara 1-Edo 5445 cases of #COVID19 in Nigeria Discharged: 1320 Deaths: 171 https://t.co/WOllJ4pGlc,Reliable,0,0,True
Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,Misinformation,1,0,False
Smoking are recommended as coronavirus remedies,Reliable,0,1,False
